"����","γ��","ҵ��ʱ��","��Ƭ��¼����","��·����","��γ��","�ϳ�վ��","ʵ��վ��"
114.039108,22.641319,"2014/6/9 7:47",329658150,"68·","114.039108,22.641319",2,31
114.034912,22.642595,"2014/6/9 7:49",23151422,"68·","114.034912,22.642595",2,31
114.034912,22.642595,"2014/6/9 7:49",293914607,"68·","114.034912,22.642595",2,31
114.034912,22.642595,"2014/6/9 7:49",321959183,"68·","114.034912,22.642595",2,31
114.034912,22.642595,"2014/6/9 7:49",323248397,"68·","114.034912,22.642595",2,31
114.034912,22.642595,"2014/6/9 7:49",324351254,"68·","114.034912,22.642595",2,31
114.034912,22.642595,"2014/6/9 7:49",325745030,"68·","114.034912,22.642595",2,31
114.034912,22.642595,"2014/6/9 7:49",327536226,"68·","114.034912,22.642595",2,31
114.034912,22.642595,"2014/6/9 7:49",328779232,"68·","114.034912,22.642595",2,31
114.034912,22.642595,"2014/6/9 7:49",364056969,"68·","114.034912,22.642595",2,31
114.031684,22.637451,"2014/6/9 7:51",20592495,"68·","114.031684,22.637451",2,31
114.031684,22.637451,"2014/6/9 7:51",21025506,"68·","114.031684,22.637451",2,31
114.031684,22.637451,"2014/6/9 7:51",23581251,"68·","114.031684,22.637451",2,31
114.031684,22.637451,"2014/6/9 7:51",280372336,"68·","114.031684,22.637451",2,31
114.031684,22.637451,"2014/6/9 7:51",292543135,"68·","114.031684,22.637451",2,31
114.031684,22.637451,"2014/6/9 7:51",325768598,"68·","114.031684,22.637451",2,31
114.031684,22.637451,"2014/6/9 7:51",326959928,"68·","114.031684,22.637451",2,31
114.031684,22.637451,"2014/6/9 7:51",328164759,"68·","114.031684,22.637451",2,31
114.061309,22.651321,"2014/6/9 8:06",280680582,"68·","114.061309,22.651321",13,36
114.061309,22.651321,"2014/6/9 8:06",290929580,"68·","114.061309,22.651321",13,36
114.061309,22.651321,"2014/6/9 8:06",292236595,"68·","114.061309,22.651321",13,36
114.061309,22.651321,"2014/6/9 8:06",324751191,"68·","114.061309,22.651321",13,36
114.061309,22.651321,"2014/6/9 8:06",325905061,"68·","114.061309,22.651321",13,36
114.061309,22.651321,"2014/6/9 8:06",328186768,"68·","114.061309,22.651321",13,36
114.061309,22.651321,"2014/6/9 8:06",329273961,"68·","114.061309,22.651321",13,36
114.061309,22.651321,"2014/6/9 8:06",364008266,"68·","114.061309,22.651321",13,36
113.94062,22.560033,"2014/6/9 8:07",323503136,"68·","113.94062,22.560033",17,2
114.035453,22.524816,"2014/6/9 8:26",329645057,"68·","114.035453,22.524816",5,11
114.042045,22.639526,"2014/6/9 8:31",292036589,"68·","114.042045,22.639526",2,31
114.042045,22.639526,"2014/6/9 8:31",297575273,"68·","114.042045,22.639526",2,31
114.0317,22.637315,"2014/6/9 8:37",80314131,"68·","114.0317,22.637315",2,31
114.0317,22.637315,"2014/6/9 8:37",292736245,"68·","114.0317,22.637315",2,31
114.0317,22.637315,"2014/6/9 8:37",293349294,"68·","114.0317,22.637315",2,31
114.0317,22.637315,"2014/6/9 8:37",293811129,"68·","114.0317,22.637315",2,31
114.0317,22.637315,"2014/6/9 8:37",298114966,"68·","114.0317,22.637315",2,31
114.0317,22.637315,"2014/6/9 8:37",320770463,"68·","114.0317,22.637315",2,31
114.0317,22.637315,"2014/6/9 8:37",322430097,"68·","114.0317,22.637315",2,31
114.0317,22.637315,"2014/6/9 8:37",327382440,"68·","114.0317,22.637315",2,31
114.0317,22.637315,"2014/6/9 8:37",360802823,"68·","114.0317,22.637315",2,31
113.996864,22.529382,"2014/6/9 8:44",20817241,"68·","113.996864,22.529382",18,7
113.996864,22.529382,"2014/6/9 8:44",80002928,"68·","113.996864,22.529382",18,7
114.03511,22.622261,"2014/6/9 8:44",280786325,"68·","114.03511,22.622261",10,30
113.996864,22.529382,"2014/6/9 8:44",291270262,"68·","113.996864,22.529382",18,7
113.996864,22.529382,"2014/6/9 8:44",294563892,"68·","113.996864,22.529382",18,7
114.03511,22.622261,"2014/6/9 8:44",294862943,"68·","114.03511,22.622261",10,30
114.03511,22.622261,"2014/6/9 8:44",323146354,"68·","114.03511,22.622261",10,30
114.03511,22.622261,"2014/6/9 8:44",326623510,"68·","114.03511,22.622261",10,30
113.996864,22.529382,"2014/6/9 8:44",327451531,"68·","113.996864,22.529382",18,7
114.03511,22.622261,"2014/6/9 8:44",329772759,"68·","114.03511,22.622261",10,30
114.038986,22.641265,"2014/6/9 8:45",360732274,"68·","114.038986,22.641265",2,31
114.040481,22.610065,"2014/6/9 8:51",293781361,"68·","114.040481,22.610065",19,28
114.065429,22.551076,"2014/6/9 9:01",328706579,"68·","114.065429,22.551076",20,20
114.046569,22.518995,"2014/6/9 9:02",20674536,"68·","114.046569,22.518995",8,12
114.046569,22.518995,"2014/6/9 9:02",290458994,"68·","114.046569,22.518995",8,12
114.046569,22.518995,"2014/6/9 9:02",290703701,"68·","114.046569,22.518995",8,12
114.064216,22.537551,"2014/6/9 9:08",360963590,"68·","114.064216,22.537551",21,15
114.046318,22.519163,"2014/6/9 9:25",20184776,"68·","114.046318,22.519163",8,12
114.046318,22.519163,"2014/6/9 9:25",290809519,"68·","114.046318,22.519163",8,12
114.029228,22.528411,"2014/6/9 9:32",323624317,"68·","114.029228,22.528411",4,10
114.029228,22.528411,"2014/6/9 9:32",325696404,"68·","114.029228,22.528411",4,10
114.03469,22.525232,"2014/6/9 9:38",23226777,"68·","114.03469,22.525232",5,11
114.03469,22.525232,"2014/6/9 9:38",324698219,"68·","114.03469,22.525232",5,11
114.046813,22.595199,"2014/6/9 9:42",320770480,"68·","114.046813,22.595199",22,23
114.046813,22.595199,"2014/6/9 9:42",321652611,"68·","114.046813,22.595199",22,23
114.046813,22.595199,"2014/6/9 9:42",324734088,"68·","114.046813,22.595199",22,23
114.039848,22.608016,"2014/6/9 9:46",291141284,"68·","114.039848,22.608016",23,27
114.039848,22.608016,"2014/6/9 9:46",293800076,"68·","114.039848,22.608016",23,27
114.039848,22.608016,"2014/6/9 9:46",294434052,"68·","114.039848,22.608016",23,27
114.039848,22.608016,"2014/6/9 9:46",360390347,"68·","114.039848,22.608016",23,27
113.940605,22.540599,"2014/6/10 12:27",320115085,"68·","113.940605,22.540599",6,3
114.044654,22.599288,"2014/6/10 13:22",296126553,"68·","114.044654,22.599288",24,25
114.03997,22.640933,"2014/6/10 15:16",294859595,"68·","114.03997,22.640933",2,31
114.03997,22.640933,"2014/6/10 15:19",329691528,"68·","114.03997,22.640933",2,31
113.99533,22.527633,"2014/6/10 7:17",327444653,"68·","113.99533,22.527633",18,7
114.033767,22.627,"2014/6/10 8:11",293858309,"68·","114.033767,22.627",10,30
114.05265,22.636804,"2014/6/10 11:03",328354754,"68·","114.05265,22.636804",12,33
114.040222,22.640779,"2014/6/10 11:07",321385452,"68·","114.040222,22.640779",2,31
114.039413,22.641166,"2014/6/10 11:07",329563335,"68·","114.039413,22.641166",2,31
114.032066,22.639432,"2014/6/10 11:13",329336996,"68·","114.032066,22.639432",2,31
114.031753,22.63746,"2014/6/10 11:13",326108867,"68·","114.031753,22.63746",2,31
114.040733,22.609395,"2014/6/10 11:27",360684999,"68·","114.040733,22.609395",19,28
114.07125,22.551,"2014/6/10 11:47",700068632,"68·","114.07125,22.551",15,18
114.046646,22.519039,"2014/6/10 12:04",293424514,"68·","114.046646,22.519039",8,12
113.94857,22.530099,"2014/6/10 13:08",292837478,"68·","113.94857,22.530099",3,5
114.074653,22.542932,"2014/6/10 13:39",327528265,"68·","114.074653,22.542932",9,17
114.04557,22.598833,"2014/6/10 13:57",325950244,"68·","114.04557,22.598833",24,25
113.940681,22.560583,"2014/6/10 17:52",296280531,"68·","113.940681,22.560583",17,2
114.063301,22.52535,"2014/6/10 18:43",298316936,"68·","114.063301,22.52535",25,14
114.044097,22.638799,"2014/6/10 19:43",291387495,"68·","114.044097,22.638799",2,31
114.03218,22.631732,"2014/6/10 21:26",322436134,"68·","114.03218,22.631732",10,30
113.940551,22.542432,"2014/6/10 7:32",251390691,"68·","113.940551,22.542432",6,3
114.034248,22.525249,"2014/6/10 7:54",294409744,"68·","114.034248,22.525249",5,11
114.076019,22.542467,"2014/6/10 8:20",290342373,"68·","114.076019,22.542467",9,17
114.032348,22.640167,"2014/6/10 10:19",327152938,"68·","114.032348,22.640167",2,31
114.034851,22.623466,"2014/6/10 10:28",322127454,"68·","114.034851,22.623466",10,30
114.058486,22.637849,"2014/6/10 14:04",330119161,"68·","114.058486,22.637849",12,33
114.066398,22.659517,"2014/6/10 15:16",361278093,"68·","114.066398,22.659517",1,37
113.940353,22.542299,"2014/6/10 17:41",23576057,"68·","113.940353,22.542299",6,3
113.940551,22.541133,"2014/6/10 17:43",323453449,"68·","113.940551,22.541133",6,3
114.023452,22.531583,"2014/6/10 18:02",294543740,"68·","114.023452,22.531583",26,9
114.046813,22.518766,"2014/6/10 18:15",20991711,"68·","114.046813,22.518766",8,12
114.061302,22.648466,"2014/6/10 19:51",280873246,"68·","114.061302,22.648466",13,36
114.061096,22.647716,"2014/6/10 21:40",23465687,"68·","114.061096,22.647716",13,36
114.05545,22.636016,"2014/6/10 21:48",292571990,"68·","114.05545,22.636016",12,33
114.039184,22.641283,"2014/6/10 21:51",322894949,"68·","114.039184,22.641283",2,31
114.032012,22.630649,"2014/6/10 21:56",290447638,"68·","114.032012,22.630649",10,30
114.055786,22.518682,"2014/6/10 7:47",285050091,"68·","114.055786,22.518682",27,13
114.036499,22.618749,"2014/6/10 8:29",280856436,"68·","114.036499,22.618749",10,30
114.032279,22.630117,"2014/6/10 8:35",326999405,"68·","114.032279,22.630117",10,30
114.071968,22.654766,"2014/6/10 9:41",292922504,"68·","114.071968,22.654766",28,39
114.039031,22.641307,"2014/6/10 10:01",327142283,"68·","114.039031,22.641307",2,31
114.061691,22.521764,"2014/6/10 11:06",321196871,"68·","114.061691,22.521764",25,14
114.04647,22.5191,"2014/6/10 11:11",324999292,"68·","114.04647,22.5191",8,12
114.039329,22.522741,"2014/6/10 11:15",327096125,"68·","114.039329,22.522741",5,11
113.94065,22.56015,"2014/6/10 7:51",328133022,"68·","113.94065,22.56015",17,2
114.058967,22.519783,"2014/6/10 8:43",326187199,"68·","114.058967,22.519783",25,14
114.06118,22.521133,"2014/6/10 8:45",297047456,"68·","114.06118,22.521133",25,14
114.063232,22.525295,"2014/6/10 8:46",294364472,"68·","114.063232,22.525295",25,14
114.063186,22.526836,"2014/6/10 8:46",326118616,"68·","114.063186,22.526836",25,14
114.065498,22.538145,"2014/6/10 8:53",328235228,"68·","114.065498,22.538145",21,15
114.052391,22.636951,"2014/6/10 10:53",322359534,"68·","114.052391,22.636951",12,33
114.032066,22.639345,"2014/6/10 11:01",330703468,"68·","114.032066,22.639345",2,31
114.032165,22.63385,"2014/6/10 11:02",326605312,"68·","114.032165,22.63385",10,30
114.071647,22.543216,"2014/6/10 11:38",329891218,"68·","114.071647,22.543216",9,17
114.039085,22.52275,"2014/6/10 13:20",323701819,"68·","114.039085,22.52275",5,11
114.062965,22.523408,"2014/6/10 13:28",20646264,"68·","114.062965,22.523408",25,14
114.03971,22.641084,"2014/6/10 15:53",329223349,"68·","114.03971,22.641084",2,31
114.032546,22.62955,"2014/6/10 16:07",323634115,"68·","114.032546,22.62955",10,30
114.045585,22.598749,"2014/6/10 19:37",290234597,"68·","114.045585,22.598749",24,25
114.0354,22.622066,"2014/6/10 19:49",292419663,"68·","114.0354,22.622066",10,30
114.06195,22.638866,"2014/6/10 22:16",292131599,"68·","114.06195,22.638866",11,34
114.031684,22.636375,"2014/6/10 22:27",322339002,"68·","114.031684,22.636375",2,31
114.03218,22.631666,"2014/6/10 22:28",327198453,"68·","114.03218,22.631666",10,30
113.940528,22.544399,"2014/6/10 6:41",50052663,"68·","113.940528,22.544399",6,3
114.036178,22.524351,"2014/6/10 6:59",251161278,"68·","114.036178,22.524351",5,11
114.061248,22.5212,"2014/6/10 7:08",327563124,"68·","114.061248,22.5212",25,14
114.037216,22.617099,"2014/6/10 7:49",325658119,"68·","114.037216,22.617099",10,30
114.035285,22.622049,"2014/6/10 7:52",294452161,"68·","114.035285,22.622049",10,30
114.061325,22.651731,"2014/6/10 9:08",660429260,"68·","114.061325,22.651731",13,36
114.031684,22.637847,"2014/6/10 9:30",360891291,"68·","114.031684,22.637847",2,31
114.031669,22.637332,"2014/6/10 9:30",327395219,"68·","114.031669,22.637332",2,31
114.051391,22.518331,"2014/6/10 10:36",294054731,"68·","114.051391,22.518331",8,12
114.045783,22.519332,"2014/6/10 10:38",361070240,"68·","114.045783,22.519332",8,12
113.940429,22.549165,"2014/6/10 12:05",322067867,"68·","113.940429,22.549165",6,3
114.039619,22.522392,"2014/6/10 12:30",327351914,"68·","114.039619,22.522392",5,11
114.035179,22.642452,"2014/6/10 13:23",322248496,"68·","114.035179,22.642452",2,31
114.037498,22.616266,"2014/6/10 15:15",700265377,"68·","114.037498,22.616266",10,30
113.940414,22.548749,"2014/6/10 17:21",20972055,"68·","113.940414,22.548749",6,3
113.940498,22.545099,"2014/6/10 17:23",321310620,"68·","113.940498,22.545099",6,3
113.940567,22.540966,"2014/6/10 17:24",329265852,"68·","113.940567,22.540966",6,3
113.945068,22.533649,"2014/6/10 17:29",281022238,"68·","113.945068,22.533649",29,4
113.940704,22.559835,"2014/6/10 6:00",293902375,"68·","113.940704,22.559835",17,2
113.938003,22.56245,"2014/6/10 6:00",293902371,"68·","113.938003,22.56245",30,1
114.047058,22.518648,"2014/6/10 6:27",321320619,"68·","114.047058,22.518648",8,12
114.032066,22.631134,"2014/6/10 7:04",151092793,"68·","114.032066,22.631134",10,30
114.065971,22.659004,"2014/6/10 8:25",294671785,"68·","114.065971,22.659004",1,37
114.063659,22.656343,"2014/6/10 8:25",330664132,"68·","114.063659,22.656343",1,37
114.032333,22.630899,"2014/6/10 9:01",328835610,"68·","114.032333,22.630899",10,30
114.033416,22.627666,"2014/6/10 9:02",294438853,"68·","114.033416,22.627666",10,30
114.035346,22.621532,"2014/6/10 9:05",326705981,"68·","114.035346,22.621532",10,30
113.9944,22.52712,"2014/6/10 11:48",324341065,"68·","113.9944,22.52712",18,7
114.063117,22.655666,"2014/6/10 13:12",295016404,"68·","114.063117,22.655666",1,37
114.03955,22.640949,"2014/6/10 14:52",294335789,"68·","114.03955,22.640949",2,31
114.064819,22.537916,"2014/6/10 15:41",298865092,"68·","114.064819,22.537916",21,15
114.034179,22.62605,"2014/6/10 18:15",293918106,"68·","114.034179,22.62605",10,30
114.032264,22.629917,"2014/6/10 18:17",329843338,"68·","114.032264,22.629917",10,30
114.035484,22.642503,"2014/6/10 18:25",291639321,"68·","114.035484,22.642503",2,31
114.07225,22.6548,"2014/6/10 20:00",361345717,"68·","114.07225,22.6548",28,39
114.061599,22.638883,"2014/6/10 20:11",327413777,"68·","114.061599,22.638883",11,34
114.05587,22.636182,"2014/6/10 20:17",290045439,"68·","114.05587,22.636182",12,33
114.03955,22.64105,"2014/6/10 20:21",325798951,"68·","114.03955,22.64105",2,31
114.035636,22.624082,"2014/6/10 20:33",328293434,"68·","114.035636,22.624082",10,30
114.044898,22.519515,"2014/6/10 21:16",323711737,"68·","114.044898,22.519515",8,12
113.940505,22.560371,"2014/6/10 6:48",23467314,"68·","113.940505,22.560371",17,2
113.940368,22.549266,"2014/6/10 6:51",20649526,"68·","113.940368,22.549266",6,3
114.030731,22.527011,"2014/6/10 7:08",324905749,"68·","114.030731,22.527011",4,10
114.038764,22.522916,"2014/6/10 7:12",290661144,"68·","114.038764,22.522916",5,11
114.037918,22.615726,"2014/6/10 7:51",23228722,"68·","114.037918,22.615726",10,30
114.042953,22.639123,"2014/6/10 8:06",441165877,"68·","114.042953,22.639123",2,31
114.031852,22.6389,"2014/6/10 15:13",662240237,"68·","114.031852,22.6389",2,31
114.03495,22.623065,"2014/6/10 15:19",296184397,"68·","114.03495,22.623065",10,30
113.940605,22.559724,"2014/6/10 7:37",293513210,"68·","113.940605,22.559724",17,2
114.050407,22.518085,"2014/6/10 8:22",660213562,"68·","114.050407,22.518085",8,12
114.071548,22.655033,"2014/6/10 10:23",330364774,"68·","114.071548,22.655033",28,39
114.060966,22.638751,"2014/6/10 10:33",281027741,"68·","114.060966,22.638751",11,34
114.042053,22.639728,"2014/6/10 10:40",296387037,"68·","114.042053,22.639728",2,31
114.035041,22.642528,"2014/6/10 10:42",292758793,"68·","114.035041,22.642528",2,31
114.031997,22.639204,"2014/6/10 10:45",294206770,"68·","114.031997,22.639204",2,31
114.037513,22.616399,"2014/6/10 10:56",322950159,"68·","114.037513,22.616399",10,30
114.075668,22.543291,"2014/6/10 11:28",80382156,"68·","114.075668,22.543291",9,17
114.063056,22.527256,"2014/6/10 11:37",360886600,"68·","114.063056,22.527256",25,14
114.034927,22.525108,"2014/6/10 11:50",292715850,"68·","114.034927,22.525108",5,11
114.039581,22.522396,"2014/6/10 13:07",293850682,"68·","114.039581,22.522396",5,11
114.062568,22.5631,"2014/6/10 13:34",287057282,"68·","114.062568,22.5631",31,21
113.940567,22.544799,"2014/6/10 17:48",290425592,"68·","113.940567,22.544799",6,3
113.94062,22.540849,"2014/6/10 17:50",360242730,"68·","113.94062,22.540849",6,3
114.044937,22.5195,"2014/6/10 18:20",291818194,"68·","114.044937,22.5195",8,12
114.062316,22.522199,"2014/6/10 18:25",291403255,"68·","114.062316,22.522199",25,14
114.073448,22.542966,"2014/6/10 18:39",327156293,"68·","114.073448,22.542966",9,17
114.033668,22.627252,"2014/6/10 19:37",326594990,"68·","114.033668,22.627252",10,30
114.057975,22.637496,"2014/6/10 22:01",360581647,"68·","114.057975,22.637496",12,33
114.035102,22.642549,"2014/6/10 22:07",294096407,"68·","114.035102,22.642549",2,31
114.03215,22.639883,"2014/6/10 22:09",322991865,"68·","114.03215,22.639883",2,31
114.046798,22.518966,"2014/6/10 22:55",294111740,"68·","114.046798,22.518966",8,12
114.033615,22.6275,"2014/6/10 7:30",327491282,"68·","114.033615,22.6275",10,30
114.036346,22.618816,"2014/6/10 7:36",323225469,"68·","114.036346,22.618816",10,30
114.035385,22.52485,"2014/6/10 8:35",700084031,"68·","114.035385,22.52485",5,11
114.063133,22.537216,"2014/6/10 10:38",293550516,"68·","114.063133,22.537216",21,15
114.038345,22.523176,"2014/6/10 6:45",23002590,"68·","114.038345,22.523176",5,11
114.033348,22.628116,"2014/6/10 7:31",281022069,"68·","114.033348,22.628116",10,30
114.040367,22.64055,"2014/6/10 7:41",324784856,"68·","114.040367,22.64055",2,31
114.051681,22.637184,"2014/6/10 7:46",323699607,"68·","114.051681,22.637184",12,33
114.061866,22.638896,"2014/6/10 9:00",293933722,"68·","114.061866,22.638896",11,34
114.057098,22.636966,"2014/6/10 9:03",329611825,"68·","114.057098,22.636966",12,33
114.035057,22.622566,"2014/6/10 9:26",23375379,"68·","114.035057,22.622566",10,30
114.024246,22.531419,"2014/6/10 12:16",294251925,"68·","114.024246,22.531419",26,9
114.051918,22.517955,"2014/6/10 12:28",294340920,"68·","114.051918,22.517955",8,12
114.062797,22.655134,"2014/6/10 14:29",330174009,"68·","114.062797,22.655134",1,37
114.042602,22.639432,"2014/6/10 14:43",280136984,"68·","114.042602,22.639432",2,31
114.036331,22.524366,"2014/6/10 17:38",20606937,"68·","114.036331,22.524366",5,11
114.073303,22.542932,"2014/6/10 18:09",294341592,"68·","114.073303,22.542932",9,17
114.036903,22.617584,"2014/6/10 21:08",322026381,"68·","114.036903,22.617584",10,30
114.034103,22.625366,"2014/6/10 7:54",291686993,"68·","114.034103,22.625366",10,30
114.034584,22.62405,"2014/6/10 7:54",281025716,"68·","114.034584,22.62405",10,30
114.035507,22.621576,"2014/6/10 7:55",326934291,"68·","114.035507,22.621576",10,30
114.044952,22.519599,"2014/6/10 9:21",323296530,"68·","114.044952,22.519599",8,12
113.940605,22.541666,"2014/6/10 10:30",361374341,"68·","113.940605,22.541666",6,3
114.062568,22.654808,"2014/6/10 14:09",326105643,"68·","114.062568,22.654808",1,37
113.940452,22.548767,"2014/6/10 16:26",320768704,"68·","113.940452,22.548767",6,3
113.940551,22.54095,"2014/6/10 16:28",323383336,"68·","113.940551,22.54095",6,3
114.063201,22.528417,"2014/6/10 17:04",328032417,"68·","114.063201,22.528417",25,14
114.065963,22.659067,"2014/6/10 8:06",327382130,"68·","114.065963,22.659067",1,37
114.063362,22.655981,"2014/6/10 8:06",293839527,"68·","114.063362,22.655981",1,37
114.061531,22.65225,"2014/6/10 8:08",292381181,"68·","114.061531,22.65225",13,36
114.061286,22.651184,"2014/6/10 8:08",325712344,"68·","114.061286,22.651184",13,36
114.062614,22.654684,"2014/6/10 7:08",324129236,"68·","114.062614,22.654684",1,37
114.0512,22.637416,"2014/6/10 7:18",323285013,"68·","114.0512,22.637416",12,33
114.035415,22.621639,"2014/6/10 7:39",23051402,"68·","114.035415,22.621639",10,30
114.03543,22.621749,"2014/6/10 7:39",294331971,"68·","114.03543,22.621749",10,30
114.035728,22.620279,"2014/6/10 7:39",360871829,"68·","114.035728,22.620279",10,30
114.036918,22.617549,"2014/6/10 7:41",327288729,"68·","114.036918,22.617549",10,30
114.062965,22.537166,"2014/6/10 10:41",326344126,"68·","114.062965,22.537166",21,15
114.039268,22.641252,"2014/6/10 13:19",329536584,"68·","114.039268,22.641252",2,31
114.035667,22.620891,"2014/6/10 13:34",328892128,"68·","114.035667,22.620891",10,30
114.040321,22.605056,"2014/6/10 13:42",329718733,"68·","114.040321,22.605056",32,26
114.045425,22.596542,"2014/6/10 13:45",20680990,"68·","114.045425,22.596542",33,24
114.062866,22.528667,"2014/6/10 14:11",321857675,"68·","114.062866,22.528667",25,14
114.063034,22.537067,"2014/6/10 16:36",23152808,"68·","114.063034,22.537067",21,15
114.075798,22.542417,"2014/6/10 16:40",293087189,"68·","114.075798,22.542417",9,17
114.062088,22.640775,"2014/6/10 17:55",251294297,"68·","114.062088,22.640775",11,34
114.042617,22.520992,"2014/6/10 20:19",292961594,"68·","114.042617,22.520992",8,12
114.062927,22.525543,"2014/6/10 14:19",20446245,"68·","114.062927,22.525543",25,14
114.067634,22.659999,"2014/6/10 19:01",324918801,"68·","114.067634,22.659999",34,38
113.940498,22.546516,"2014/6/10 21:22",330190312,"68·","113.940498,22.546516",6,3
113.940536,22.544666,"2014/6/10 21:23",320648222,"68·","113.940536,22.544666",6,3
114.033058,22.641622,"2014/6/10 22:40",292701943,"68·","114.033058,22.641622",2,31
114.061988,22.522361,"2014/6/10 8:27",361397543,"68·","114.061988,22.522361",25,14
